001be1b,Frost199,2 days ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into git-ignore
ac2c970,Miracle Gabriel,2 days ago,nodemon moved to devDependencies
c70a03d,Miracle Gabriel,2 days ago,dead dependency removed
6354c6d,Miracle Gabriel,2 days ago,excessive spacing removed
6a27943,Miracle Gabriel,2 days ago,abbreviation used in route.js changed to full word
4c8d2e2,Miracle Gabriel,2 days ago,Variable typo fixed
c3d2cf5,Miracle Gabriel,2 days ago,Replaced body-parser middleware with the express.json()
e999a07,robertechie,2 days ago,Merge pull request #15 from Frost199/git-ignore
bfd1c79,sjdammy,2 days ago,created public folder for assets and moved index stylesheet
58b4bc5,Seweje Damilola John,2 days ago,Merge pull request #2 from AbdussamiG/patch-3
19bcc7f,robertechie,2 days ago,Merge pull request #9 from youngGaf/login-appTest
d8db86d,Anthony Anonde,2 days ago,Merge pull request #14 from Olanetsoft/new-branch
a2977b8,AbdussamiG,2 days ago,Removed meta tags
4444905,robertechie,2 days ago,Merge pull request #16 from thebolarin/dev
b1213c6,AbdussamiG,2 days ago,requested update
711b4d1,AbdussamiG,2 days ago,added the html code for the navbar
fe2ab4d,Odutusin moses,2 days ago,Delete this file
d28ff09,Seweje Damilola John,2 days ago,Merge pull request #1 from AbdussamiG/patch-1
40cb44e,AbdussamiG,2 days ago,added for the navbar
ad59c06,sjdammy,2 days ago,linked stylesheet to page
74079c0,thebolarin,2 days ago,Merge branch 'master' of https://github.com/hngi/Team-Incredible-BE into dev
6538b43,thebolarin,2 days ago,Signup test
5d108d2,sjdammy,2 days ago,added boilerplate for index page and stylesheet
651b37d,Frost199,2 days ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into git-ignore
63b8021,deeone2,2 days ago,assets folder added
e40de15,olanetsoft,2 days ago,Fixed registered engine path
7b0af0c,Anthony Anonde,2 days ago,Merge pull request #11 from hngi/develop
6345796,youngGaf,2 days ago,Commit to test
9f5e1ef,youngGaf,2 days ago,commits to match upstream
91897fe,youngGaf,2 days ago,commits to match upstream
ef485e5,tonymj76,2 days ago,add comment
f9b4c68,tonymj76,2 days ago,hotfix
df13540,tonymj76,2 days ago,update
6caea5f,tonymj76,2 days ago,add files
f054593,tonymj76,2 days ago,dep
2a5da24,tonymj76,2 days ago,change port
1a3bed3,tonymj76,2 days ago,add ejs engine
85ad59a,youngGaf,2 days ago,updated app.test.js
0dc47f0,youngGaf,2 days ago,Added mocha
5ba6e47,AbdussamiG,2 days ago,Delete style.css
14527b5,AbdussamiG,2 days ago,create styles.css
fea32c2,youngGaf,2 days ago,my commit
7ea92f0,AbdussamiG,2 days ago,Rename Pages/Front-Page/Navbar/index.html to Pages/front-page/index.html
8461ded,AbdussamiG,2 days ago,Delete pages
8e9298c,AbdussamiG,2 days ago,Delete navbar
334baa8,AbdussamiG,2 days ago,Create navbar
abd1d00,AbdussamiG,2 days ago,Create pages
9001c29,AbdussamiG,2 days ago,created a style.css file
1b2e73a,AbdussamiG,2 days ago,create index.html for the navber
a07fdfb,Frost199,2 days ago,chore: Update to .gitignore
30afd96,Anthony Anonde,2 days ago,Merge pull request #4 from hngi/setup
a9ee78a,youngGaf,2 days ago,Commit by Gafar_01 Unit test1
2984445,tonymj76,2 days ago,hotfix
